Ref,Val,Package,PosX,PosY,Rot,Side
"J1","6P6C","PinSocket_2x03_P1.00mm_Vertical_SMD",75.406250,-60.325000,0.000000,top
"MX1","MX-NoLED","MXOnly-1U-Hotswap",88.900000,-73.025000,0.000000,top
"MX2","MX-NoLED","MXOnly-1U-Hotswap",88.900000,-92.075000,0.000000,top
"MX3","MX-NoLED","MXOnly-1U-Hotswap",107.950000,-73.025000,0.000000,top
"MX4","MX-NoLED","MXOnly-1U-Hotswap",107.950000,-92.075000,0.000000,top
"MX5","MX-NoLED","MXOnly-1U-Hotswap",127.000000,-73.025000,0.000000,top
"MX6","MX-NoLED","MXOnly-1U-Hotswap",127.000000,-92.075000,0.000000,top
"MX7","MX-NoLED","MXOnly-1U-Hotswap",146.050000,-73.025000,0.000000,top
"MX8","MX-NoLED","MXOnly-1U-Hotswap",146.050000,-92.075000,0.000000,top
"MX9","MX-NoLED","MXOnly-1U-Hotswap",165.100000,-73.025000,0.000000,top
"MX10","MX-NoLED","MXOnly-1U-Hotswap",165.100000,-92.075000,0.000000,top
"MX11","MX-NoLED","MXOnly-1U-Hotswap",184.150000,-73.025000,0.000000,top
"MX12","MX-NoLED","MXOnly-1U-Hotswap",184.150000,-92.075000,0.000000,top
"SW1","SW_Push","SKQG-1155865",162.560000,-49.530000,0.000000,top
"SW3","SW_Push","SKQG-1155865",131.762500,-106.362500,0.000000,top
"SW4","SW_Push","SKQG-1155865",141.287500,-106.362500,0.000000,top
"USB1","HRO-TYPE-C-31-M-12","HRO-TYPE-C-31-M-12-HandSoldering",87.312500,-34.131250,180.000000,top
